date,sleeptime,deeptime,lighttime,awaketime,remtime
2021-12-19,422,103,319,51,
2021-12-20,443,78,365,39,
2021-12-21,504,111,277,4,116
2021-12-22,455,,,,
2021-12-23,401,83,201,0,117
2021-12-24,304,72,144,4,88
2021-12-25,395,74,191,0,130
2021-12-26,576,128,297,29,151
2021-12-27,446,88,308,44,50
2021-12-28,427,62,267,16,127
2021-12-29,400,119,230,16,51
2021-12-30,441,63,214,67,164
2021-12-31,350,82,167,0,101
2022-01-01,487,113,262,17,112
2022-01-02,402,108,207,0,87
2022-01-03,433,115,189,4,129
2022-01-04,423,94,232,0,97
2022-01-05,426,104,240,0,82
2022-01-06,449,140,165,0,144
2022-01-07,410,122,231,0,57
2022-01-08,384,91,196,48,97
2022-01-09,399,93,256,10,50
2022-01-10,380,154,158,0,68
2022-01-11,456,123,250,0,83
2022-01-12,451,103,259,0,89
2022-01-13,498,118,235,0,145
2022-01-14,389,102,172,5,115
2022-01-15,318,61,177,0,80
2022-01-16,400,79,260,0,61
2022-01-17,319,67,188,0,64
2022-01-20,389,82,214,0,93
2022-01-21,393,97,224,28,72
2022-01-22,387,90,206,0,91
2022-01-23,343,37,189,29,117
2022-01-24,391,67,213,61,111
2022-01-25,443,109,244,0,90
2022-01-26,487,161,197,0,129
2022-01-27,456,132,230,1,94
2022-01-28,327,68,161,0,98
2022-01-29,326,104,149,0,73
2022-01-30,417,116,210,0,91
2022-01-31,381,120,158,0,103
2022-02-01,437,96,237,0,104
2022-02-02,445,113,249,4,83
2022-02-03,397,82,206,0,109
2022-02-04,330,70,167,0,93
2022-02-05,434,80,232,12,122
2022-02-07,415,109,213,0,99
2022-02-08,387,74,209,0,104
2022-02-09,370,95,189,0,86
2022-02-10,442,77,247,0,118
2022-02-11,492,79,285,6,128
2022-02-12,458,85,230,0,143
2022-02-13,290,69,180,28,41
